,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00089202,152,9,2,2,6,2,2,2,14,19,26,36,5,14,10,2,1,40.3,38
S00089203,214,9,7,3,22,3,5,8,14,16,52,50,4,16,4,-,1,35.4,37
S00089204,149,10,8,9,11,1,5,3,6,3,47,30,3,4,8,-,1,34.7,37
S00089205,117,3,3,3,9,1,3,-,9,8,29,27,4,13,4,1,-,39.4,41
S00089206,122,4,7,3,12,1,3,1,7,6,23,33,4,9,8,1,-,40.0,42
S00089207,100,8,5,4,4,1,3,2,4,7,27,21,4,5,2,3,-,35.9,37
S00089208,76,2,1,1,1,-,-,-,13,19,31,5,1,-,2,-,-,31.3,30
S00089209,73,5,-,1,1,-,-,3,6,14,28,8,5,2,-,-,-,33.0,32
S00089210,76,-,-,-,1,1,-,6,12,23,24,7,-,1,1,-,-,30.9,28
S00089211,71,-,-,-,1,1,-,4,10,16,26,10,-,1,1,1,-,33.8,30
S00089212,106,1,2,2,-,-,1,4,28,32,21,10,2,1,-,1,1,30.2,26
S00089213,68,4,-,-,1,-,1,2,12,21,22,5,-,-,-,-,-,28.1,28
S00089214,61,-,-,-,-,-,1,2,18,12,14,7,5,1,1,-,-,34.5,28
S00089215,67,4,3,1,-,-,1,3,9,10,19,13,1,-,2,1,-,33.3,30
S00089216,97,3,1,-,-,-,-,-,17,28,27,15,4,2,-,-,-,33.3,29
S00089217,79,2,1,-,2,-,-,3,14,18,25,10,-,1,1,1,1,33.0,29
S00089218,126,6,-,1,1,-,1,4,25,22,51,11,3,-,-,-,1,30.6,30
S00089219,84,4,2,-,1,-,-,3,15,27,23,3,4,1,-,-,1,29.6,27
S00089220,60,1,-,-,-,-,-,1,12,16,18,9,2,1,-,-,-,34.1,30
S00089221,146,2,2,-,4,-,2,3,29,27,39,23,5,5,2,2,1,35.9,31
S00089222,89,6,1,-,-,-,-,-,16,26,30,8,-,-,2,-,-,29.4,28
S00089223,70,1,2,-,2,-,2,3,5,17,21,5,1,6,5,-,-,36.6,32
S00089224,191,3,2,2,11,1,5,-,10,20,26,34,10,15,20,15,17,51.5,52
S00089225,58,3,-,-,-,-,-,1,12,18,21,2,-,1,-,-,-,28.2,28
S00089226,57,2,1,-,2,-,1,2,5,8,28,4,2,2,-,-,-,33.1,32
S00089227,128,3,-,1,-,-,2,5,19,35,31,18,6,2,5,1,-,35.4,29
S00089228,95,9,6,3,3,1,-,2,10,12,32,10,-,4,2,1,-,30.8,30
S00089229,97,4,1,6,4,-,-,3,13,7,33,16,2,5,1,1,1,35.3,34
S00089230,100,5,2,-,-,1,2,1,8,15,34,15,1,9,5,-,2,39.9,35
S00089231,87,3,2,-,-,-,-,1,21,28,19,7,-,3,3,-,-,31.4,28
S00089232,93,7,2,-,7,-,1,-,9,12,30,14,1,6,3,1,-,35.1,34
S00089233,80,5,3,2,5,2,3,1,2,1,11,32,5,8,-,-,-,40.6,47
S00089234,97,3,3,4,8,1,3,1,1,6,29,20,8,6,4,-,-,38.8,41
S00089235,104,4,1,-,-,-,1,5,16,27,32,13,1,3,-,1,-,32.8,29
S00089236,81,2,-,-,1,-,1,2,10,29,18,13,1,3,-,-,1,33.0,29
S00089237,117,11,3,3,2,2,2,2,3,6,31,26,7,11,6,1,1,41.3,41
S00089238,135,4,1,-,9,4,5,4,6,7,23,29,14,21,7,1,-,44.7,48
S00089239,98,7,1,-,3,-,5,-,4,7,23,28,6,6,7,1,-,42.1,42
S00089240,179,15,4,3,9,4,4,1,7,3,50,37,14,17,7,4,-,41.0,42
S00089241,65,1,1,-,7,-,-,1,2,3,10,9,9,8,10,3,1,51.5,57
S00089242,123,8,3,2,7,1,3,3,8,2,24,35,10,9,5,3,-,41.4,45
S00089243,115,5,1,-,6,3,3,2,8,2,10,37,10,17,11,-,-,47.3,53
S00089244,117,7,3,1,7,2,-,2,1,3,26,29,9,10,13,3,1,46.4,47
S00089245,84,1,2,1,2,2,1,-,3,5,13,21,7,14,12,-,-,50.1,53
S00089246,95,7,2,3,6,-,3,2,3,2,23,14,9,14,5,1,1,42.2,43
S00089247,166,9,9,-,6,1,1,7,4,6,35,36,6,25,12,8,1,45.1,46
S00089248,205,11,4,1,5,4,6,11,19,12,50,50,8,11,10,2,1,38.9,38
