,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00092818,132,4,-,1,7,-,3,1,8,8,24,42,13,13,8,-,-,45.0,47
S00092819,85,4,3,3,1,-,1,-,3,3,12,19,10,10,12,4,-,50.5,56
S00092820,121,3,2,3,9,-,3,1,5,8,16,25,14,20,8,4,-,46.7,49
S00092821,72,3,1,1,3,-,1,5,6,5,17,13,6,4,5,1,1,40.8,40
S00092822,66,1,2,4,6,-,3,1,1,-,14,21,4,3,5,-,1,42.1,45
S00092823,198,14,5,8,8,3,6,4,12,18,49,44,9,12,5,1,-,35.9,35
S00092824,147,6,4,1,9,1,6,4,8,6,31,36,12,12,8,2,1,42.4,44
S00092825,84,2,2,-,4,1,2,2,7,7,20,19,4,11,2,1,-,41.6,43
S00092826,85,5,1,2,4,-,2,2,4,6,13,17,11,13,4,1,-,43.8,46
S00092827,57,4,1,-,-,-,1,-,3,4,10,12,6,9,3,3,1,49.4,54
S00092828,83,4,1,2,9,-,1,1,2,2,20,18,3,7,12,1,-,44.1,44
S00092829,105,7,-,1,7,1,1,-,5,4,21,26,8,10,11,-,3,45.7,50
S00092830,183,1,3,4,17,2,3,5,8,8,25,56,9,25,13,4,-,45.9,49
S00092831,96,-,1,-,2,1,2,1,6,4,15,29,9,16,8,2,-,50.3,49
S00092832,106,7,3,-,4,2,2,2,8,5,20,25,6,15,5,2,-,42.6,45
S00092833,73,5,3,3,5,1,2,1,4,4,16,14,6,5,2,1,1,37.8,37
S00092834,82,4,2,-,8,2,5,2,4,6,22,16,4,5,2,-,-,35.8,37
S00092835,119,5,2,1,10,-,1,3,5,4,25,29,22,9,2,1,-,42.8,47
S00092836,81,4,1,-,3,2,2,1,10,7,18,18,12,2,1,-,-,38.8,38
S00092837,135,1,1,1,19,1,-,3,12,5,19,45,14,7,6,1,-,42.4,47
S00092838,128,6,2,1,13,-,4,6,8,8,25,27,7,16,4,1,-,39.9,42
S00092839,67,1,1,1,3,1,2,2,6,4,12,13,2,5,10,2,2,47.0,45
S00092840,85,2,2,1,2,1,-,1,4,2,9,9,8,12,24,6,2,59.0,67
S00092841,126,4,3,2,8,3,4,2,5,4,21,21,15,19,12,3,-,46.4,50
S00092842,96,1,1,2,6,1,4,1,4,9,25,17,11,6,8,-,-,43.0,42
S00092843,86,6,5,3,1,-,-,-,6,4,8,20,4,11,15,3,-,48.0,52
S00092844,120,2,4,2,1,2,2,3,5,15,17,23,8,16,15,3,2,47.7,50
S00092845,90,-,-,-,6,2,2,2,6,4,20,20,3,14,9,2,-,47.4,46
S00092846,102,9,1,3,4,-,3,2,4,6,20,13,13,12,11,1,-,43.7,44
S00092847,76,3,2,-,3,-,-,2,6,4,11,15,2,12,12,4,-,49.4,52
S00092848,89,2,1,-,1,-,3,4,6,3,6,8,4,11,24,7,9,60.2,67
S00092849,126,8,3,1,4,3,2,1,10,8,21,36,9,18,-,2,-,41.4,46
S00092850,71,1,2,4,13,2,-,2,2,-,17,10,6,8,4,-,-,38.3,41
S00092851,162,6,5,8,9,5,5,2,4,6,41,35,10,20,6,-,-,40.4,43
S00092852,166,8,6,4,14,2,5,5,12,7,22,51,10,14,6,-,-,38.9,44
S00092853,126,3,2,3,11,2,2,6,8,2,14,29,12,17,11,4,-,45.4,52
S00092854,63,3,1,4,3,1,1,-,1,4,17,11,10,2,3,1,1,42.1,42
S00092855,93,5,1,3,9,-,2,-,3,7,19,21,3,12,7,1,-,41.9,43
S00092856,89,-,-,-,5,1,1,2,2,4,7,20,14,16,11,5,1,56.1,61
S00092857,112,8,-,2,6,2,3,2,3,3,22,24,12,13,9,2,1,46.0,49
S00092858,155,3,1,-,6,1,4,4,12,3,26,30,19,27,12,6,1,49.8,52
S00092859,56,-,1,-,1,1,1,-,-,3,9,6,4,10,17,3,-,59.7,67
S00092860,82,2,-,1,1,1,-,1,2,3,7,17,9,15,15,8,-,58.4,63
S00092861,105,7,1,3,5,1,3,2,4,4,24,11,9,15,12,4,-,45.7,44
S00092862,76,4,1,1,2,2,2,-,1,3,14,19,3,13,10,1,-,48.7,51
S00092863,85,1,1,-,5,1,3,2,3,3,14,22,3,12,10,5,-,49.9,50
S00092864,140,11,6,3,7,2,2,6,8,15,36,24,6,11,3,-,-,34.8,34
S00092865,135,7,5,2,16,5,5,3,9,5,31,31,6,8,2,-,-,34.8,37
S00092866,52,5,2,2,5,-,-,1,2,4,11,10,1,5,2,2,-,37.2,39
S00092867,108,8,4,3,3,1,1,1,14,6,17,21,7,12,9,-,1,40.7,40
S00092868,127,7,6,3,10,1,1,-,12,7,34,23,8,14,1,-,-,36.5,35
S00092869,92,5,2,1,3,1,-,5,1,4,21,15,3,5,13,5,8,50.0,46
S00092870,58,3,1,-,-,-,-,-,4,2,8,2,3,4,10,14,7,63.0,77
S00092871,122,5,5,2,3,1,1,-,3,5,18,17,17,24,13,6,2,52.0,61
S00092872,77,4,1,1,2,1,1,3,3,4,13,18,4,8,11,1,2,47.3,48
S00092873,121,3,-,2,5,1,3,1,2,4,22,11,5,20,20,18,4,57.8,65
S00092874,126,5,3,2,6,-,4,4,6,6,27,29,10,9,9,4,2,43.9,45
S00092875,191,12,4,4,9,6,8,5,13,11,34,38,9,21,14,2,1,39.8,37
S00092876,84,10,4,4,6,4,4,2,5,3,17,8,1,1,4,6,5,35.9,29
S00092877,159,10,8,1,6,2,6,2,12,13,38,34,5,12,10,-,-,37.9,38
S00092878,118,5,1,-,8,-,5,4,6,4,18,23,10,26,7,1,-,46.5,48
S00092879,99,4,2,2,4,4,2,2,4,5,9,20,7,23,10,1,-,47.9,55
S00092880,120,7,3,1,5,-,2,1,9,5,23,35,9,17,2,1,-,42.7,46
S00092881,122,6,4,3,3,1,1,1,4,8,16,26,16,11,14,6,2,48.7,53
S00092882,107,6,5,4,3,1,1,3,4,6,25,29,9,9,2,-,-,39.3,41
S00092883,118,2,5,4,5,1,1,1,12,10,15,25,8,20,6,1,2,44.3,48
S00092884,52,-,3,1,3,-,2,3,1,-,6,10,2,10,9,2,-,50.5,55
S00092885,155,6,5,5,12,2,2,2,9,6,39,36,8,17,3,-,3,40.2,41
S00092886,101,4,-,-,7,1,4,3,4,5,15,20,12,11,10,3,2,47.3,53
S00092887,141,11,3,4,5,1,1,2,12,8,30,26,10,14,11,2,1,42.0,42
S00092888,60,3,1,2,4,-,3,1,5,-,11,15,3,8,1,3,-,42.1,44
S00092889,94,3,5,6,10,-,3,2,4,1,19,18,16,5,2,-,-,37.7,41
S00092890,70,-,2,1,6,-,2,2,1,-,17,17,4,12,5,-,1,46.9,47
S00092891,144,1,2,2,8,-,6,10,10,8,18,35,5,22,14,2,1,45.5,47
S00092892,149,5,2,6,15,1,4,4,5,6,23,32,12,22,10,2,-,44.0,46
S00092893,116,-,4,1,4,2,8,4,8,1,21,21,7,16,12,4,3,47.7,47
S00092894,119,10,4,2,6,-,-,-,7,6,19,27,14,15,7,2,-,43.7,48
S00092895,104,4,6,2,7,2,3,-,4,4,22,16,5,19,8,2,-,43.4,43
S00092896,137,3,7,2,7,-,-,2,4,2,14,18,9,26,19,13,11,57.2,65
S00092897,87,2,2,1,3,-,1,3,5,2,5,22,9,19,8,3,2,53.0,58
S00092898,114,4,5,4,8,-,1,5,8,9,23,20,9,8,9,-,1,39.0,38
S00092899,53,3,1,-,2,1,-,2,4,2,9,13,3,8,5,-,-,45.9,49
S00092900,108,11,3,6,2,-,2,1,7,11,20,26,1,11,6,-,1,38.3,36
S00092901,246,17,10,12,14,5,8,7,8,8,43,58,17,20,12,4,3,39.6,41
S00092902,114,2,1,5,8,3,4,4,7,4,22,28,10,13,3,-,-,40.6,43
S00092903,210,15,6,5,13,7,6,4,18,11,41,45,16,20,3,-,-,36.5,39
S00092904,192,5,1,1,16,3,7,4,10,3,32,48,4,18,19,11,10,48.5,47
S00092905,165,9,9,6,15,3,7,8,5,14,28,34,12,9,4,2,-,35.0,34
S00092906,109,1,2,5,7,-,-,4,3,3,20,15,16,21,10,2,-,49.1,53
S00092907,172,21,15,3,6,-,3,6,19,11,48,29,4,6,1,-,-,29.8,31
S00092908,70,9,1,-,-,1,-,2,6,10,14,10,5,8,3,-,1,38.3,33
S00092909,93,3,3,3,5,1,5,-,10,5,12,22,5,8,8,3,-,42.0,44
S00092910,132,4,6,7,5,-,3,3,6,6,31,19,13,16,12,1,-,42.4,43
S00092911,124,8,4,5,6,2,2,2,3,15,22,24,9,9,12,1,-,40.5,40
S00092912,145,15,5,6,13,2,3,3,10,12,35,18,8,6,5,1,3,33.4,31
S00092913,89,3,3,1,8,-,2,2,6,5,16,14,7,9,10,2,1,44.1,42
S00092914,95,2,4,3,9,1,2,-,6,3,19,25,5,12,4,-,-,41.1,43
S00092915,155,11,5,6,10,1,8,5,8,4,31,33,8,22,3,-,-,37.4,39
S00092916,164,19,9,1,6,3,3,2,14,19,26,41,7,10,3,1,-,34.5,33
S00092917,144,4,6,-,4,1,8,2,10,8,27,33,14,16,8,2,1,43.5,46
S00092918,121,12,6,-,5,-,-,2,6,16,28,18,6,12,8,2,-,39.0,35
S00092919,135,1,3,5,6,2,7,3,3,4,20,26,14,16,21,4,-,49.4,53
S00092920,106,10,3,1,9,3,3,-,1,10,25,26,1,5,6,3,-,37.5,37
S00092921,181,14,8,2,15,2,5,3,5,5,35,50,6,12,11,6,2,40.4,44
S00092922,82,1,1,2,1,-,2,2,1,4,7,18,20,9,9,4,1,54.8,60
S00092923,101,1,7,1,4,2,1,2,1,6,13,21,16,16,6,1,3,48.2,55
S00092924,115,4,2,2,4,1,2,2,8,7,21,25,8,15,10,2,2,46.2,45
S00092925,149,3,3,3,9,2,3,3,6,11,26,35,7,18,14,6,-,45.6,46
S00092926,62,-,1,1,4,1,2,-,2,4,4,23,1,11,6,1,1,50.0,52
S00092927,140,8,2,2,9,3,2,7,8,10,24,40,10,7,7,-,1,39.3,40
S00092928,127,7,2,1,9,1,1,4,12,8,21,35,3,16,5,1,1,40.6,42
S00092929,58,1,1,-,2,-,2,1,3,3,10,16,2,14,1,2,-,48.4,51
S00092930,139,8,2,2,9,1,3,5,9,10,21,40,7,12,8,1,1,40.5,44
S00092931,146,12,4,2,8,1,4,2,8,10,32,31,4,15,11,1,1,40.3,41
S00092932,145,4,6,3,7,1,3,1,9,4,24,30,10,14,19,7,3,48.1,48
S00092933,146,8,8,4,11,1,1,2,7,7,37,19,19,10,7,3,2,40.7,41
S00092934,143,5,2,5,12,2,6,2,11,9,31,27,12,7,8,4,-,39.2,40
S00092935,111,3,3,4,7,2,4,1,6,5,26,26,5,11,7,1,-,41.3,41
S00092936,79,4,1,2,3,2,-,2,5,9,21,13,5,10,-,2,-,39.5,38
S00092937,107,5,3,-,2,2,1,1,6,12,27,17,11,6,11,3,-,43.7,42
S00092938,115,3,3,-,3,-,2,7,12,19,19,22,4,10,10,-,1,40.1,33
S00092939,165,11,3,6,12,2,3,5,12,13,26,29,11,21,9,1,1,39.5,39
S00092940,123,7,7,6,9,1,4,2,1,1,34,21,12,8,7,3,-,39.7,42
S00092941,160,6,6,1,7,2,7,5,8,10,28,49,10,9,9,2,1,41.0,45
S00092942,141,9,8,7,11,-,3,2,7,12,22,37,9,7,6,1,-,36.3,37
S00092943,69,8,1,-,-,-,1,1,9,7,14,14,4,4,2,2,2,39.6,37
S00092944,119,2,3,1,3,-,5,3,4,2,14,40,13,11,12,5,1,50.7,54
S00092945,116,10,3,4,7,2,3,2,9,6,20,19,8,10,8,4,1,40.1,39
S00092946,105,3,2,2,10,3,3,2,8,4,19,26,2,11,6,3,1,41.7,42
S00092947,173,6,5,3,6,-,5,1,4,9,37,25,11,25,14,14,8,50.0,47
S00092948,202,10,9,9,40,4,7,4,7,3,58,44,4,3,-,-,-,29.8,34
S00092949,82,3,2,3,8,1,5,2,5,1,18,21,6,4,2,1,-,38.1,42
S00092950,107,4,1,-,6,-,2,-,14,27,27,16,5,2,2,1,-,33.9,29
S00092951,152,12,3,-,9,4,2,3,11,18,29,39,9,7,4,2,-,36.7,35
S00092952,159,4,7,7,20,1,9,4,13,7,40,38,1,6,1,1,-,32.5,35
S00092953,70,5,1,3,1,1,1,-,5,2,17,11,2,11,10,-,-,45.0,44
S00092954,103,3,4,1,3,1,4,7,6,10,22,17,8,10,4,3,-,39.6,37
S00092955,111,7,8,2,15,3,3,4,7,6,31,16,6,3,-,-,-,30.2,30
S00092956,138,10,7,8,4,1,1,3,7,7,28,25,16,16,3,2,-,39.1,39
S00092957,103,7,7,3,9,3,2,1,5,3,20,28,6,5,4,-,-,35.7,40
S00092958,154,7,4,2,13,2,6,5,9,4,25,60,10,3,4,-,-,39.1,45
S00092959,84,6,3,2,5,2,2,3,7,1,19,19,5,7,3,-,-,36.6,38
S00092960,151,5,5,5,6,1,3,1,10,8,21,40,10,16,17,2,1,45.8,51
S00092961,102,5,2,-,3,2,3,6,7,2,8,40,8,8,4,3,1,45.2,50
S00092962,127,3,1,4,20,1,5,4,5,4,39,21,13,7,-,-,-,35.7,40
S00092963,132,7,4,5,13,4,5,1,4,4,35,27,7,8,8,-,-,37.3,41
S00092964,99,7,2,2,2,1,4,2,6,4,19,23,10,7,6,3,1,43.3,45
S00092965,191,7,8,7,12,5,4,7,12,6,41,50,17,12,3,-,-,37.9,41
S00092966,133,7,6,5,14,3,2,1,4,10,35,29,2,4,9,2,-,36.2,38
S00092967,99,7,3,2,4,4,2,-,3,4,27,22,-,10,7,4,-,41.6,42
S00092968,128,12,10,8,3,-,2,2,3,8,26,24,7,10,13,-,-,38.0,38
S00092969,91,1,4,2,7,2,2,2,1,1,13,16,8,24,7,1,-,48.8,53
S00092970,65,8,1,1,6,1,1,4,6,5,14,8,1,2,6,1,-,33.2,29
S00092971,188,6,3,3,8,2,7,5,13,5,29,42,12,33,13,4,3,46.9,49
S00092972,143,5,3,1,4,2,3,3,11,12,22,28,13,17,14,4,1,45.9,47
S00092973,143,5,5,4,4,1,5,4,5,5,26,34,12,22,10,1,-,44.9,47
S00092974,87,2,4,1,1,-,-,3,7,1,16,27,5,14,6,-,-,46.7,51
S00092975,134,10,5,4,10,1,6,3,6,5,23,34,13,12,2,-,-,37.6,43
S00092976,129,7,4,3,5,-,3,4,3,7,27,27,20,15,3,-,1,43.3,45
S00092977,109,8,4,3,5,1,1,-,2,5,18,31,13,11,3,1,3,43.8,50
S00092978,110,4,2,2,6,1,1,3,6,2,15,34,14,13,7,-,-,45.6,51
S00092979,73,3,2,2,2,-,2,2,4,1,18,20,9,2,4,2,-,42.6,46
S00092980,140,-,2,1,1,3,1,2,5,4,17,32,19,39,14,-,-,54.6,60
S00092981,64,2,1,-,2,1,2,1,2,2,15,16,6,10,4,-,-,46.0,48
S00092982,105,7,2,2,5,1,3,1,9,6,21,27,10,7,4,-,-,39.2,38
S00092983,182,12,5,-,12,1,8,9,4,5,21,47,25,24,7,2,-,43.4,49
S00092984,163,4,10,4,11,3,5,3,9,3,33,46,9,18,5,-,-,39.9,44
S00092985,148,4,6,4,6,3,4,2,10,3,15,47,14,24,4,2,-,44.7,48
S00092986,180,25,17,5,15,3,5,3,4,6,65,26,2,4,-,-,-,27.1,32
S00092987,140,11,6,5,15,1,4,6,4,1,43,31,6,3,4,-,-,33.6,37
S00092988,165,29,10,7,11,2,2,1,10,11,59,16,4,3,-,-,-,26.4,29
S00092989,192,6,6,1,16,-,5,3,8,9,36,48,20,21,11,1,1,44.1,47
S00092990,186,25,18,11,19,1,1,1,4,13,68,12,9,4,-,-,-,26.4,30
S00092991,191,8,10,5,13,3,6,1,7,12,35,54,10,21,6,-,-,40.2,44
S00092992,154,3,3,5,7,1,3,7,8,15,30,30,15,17,10,-,-,42.3,42
S00092993,106,6,4,3,5,2,3,1,3,2,17,30,13,11,4,2,-,43.3,48
S00092994,151,6,3,5,11,2,3,3,5,7,25,58,5,9,9,-,-,41.3,46
S00092995,84,4,3,1,1,1,2,-,3,3,16,24,9,12,3,2,-,46.5,52
S00092996,97,4,5,2,6,1,2,1,4,7,14,24,11,9,7,-,-,42.6,45
S00092997,93,2,3,2,4,-,-,1,4,3,19,18,11,12,13,1,-,49.4,57
S00092998,143,8,4,2,8,1,1,4,8,3,30,45,4,19,4,2,-,42.1,46
S00092999,159,5,6,4,13,-,7,1,7,4,31,38,12,20,10,1,-,43.0,45
S00093000,95,3,3,2,6,1,1,-,1,3,14,31,19,3,6,1,1,46.5,49
S00093001,139,5,3,2,10,-,3,3,10,7,22,46,10,9,6,2,1,42.2,46
S00093002,176,8,4,2,14,4,4,4,5,6,21,51,20,20,9,4,-,44.6,47
S00093003,93,2,3,5,3,-,-,3,7,3,18,23,12,10,3,-,1,43.3,47
S00093004,201,15,7,3,9,4,5,3,7,6,42,49,25,17,9,-,-,41.3,44
S00093005,170,14,7,4,9,4,2,4,12,5,35,29,16,21,7,-,1,39.7,42
S00093006,160,8,4,3,6,2,2,3,3,6,29,51,20,18,4,1,-,44.5,50
S00093007,160,15,9,3,9,1,7,3,4,7,34,32,8,18,9,1,-,38.6,41
S00093008,132,6,3,4,4,2,1,5,8,5,24,36,13,21,-,-,-,42.0,47
S00093009,55,1,2,3,4,2,1,-,1,3,16,2,10,6,4,-,-,42.3,40
S00093010,96,3,2,2,3,-,1,1,3,5,30,15,9,19,2,1,-,45.6,44
S00093011,96,4,3,-,7,-,2,-,3,5,17,29,13,8,4,1,-,44.5,48
S00093012,112,6,3,2,7,3,4,1,2,6,21,29,9,10,6,2,1,42.1,45
S00093013,138,3,3,3,11,-,3,1,3,5,17,53,13,12,6,3,2,46.3,51
S00093014,82,1,1,1,4,-,1,1,3,1,11,21,12,13,10,1,1,53.4,58
S00093015,65,3,1,-,4,-,-,-,6,4,6,18,4,6,12,1,-,49.1,53
S00093016,118,6,2,4,10,4,2,1,3,4,17,31,16,16,1,-,1,42.3,48
S00093017,129,2,2,1,7,1,7,4,6,1,14,41,16,19,8,-,-,46.8,49
S00093018,113,5,7,2,8,1,-,3,3,6,25,25,10,12,6,-,-,40.8,42
S00093019,159,6,6,1,16,4,5,5,6,2,30,44,13,10,9,2,-,40.9,44
S00093020,78,3,-,-,6,1,2,3,3,3,14,22,6,5,8,2,-,45.7,50
S00093021,95,1,1,4,5,1,3,5,1,2,19,26,4,14,7,1,1,46.2,46
S00093022,96,5,1,1,3,1,1,1,7,4,19,29,7,10,2,4,1,45.4,49
S00093023,107,3,4,-,12,-,4,2,4,3,18,28,13,8,8,-,-,43.3,46
S00093024,61,1,3,-,-,-,-,-,1,2,12,17,8,3,13,1,-,53.8,55
S00093025,109,5,3,2,6,-,-,3,5,3,15,38,9,14,6,-,-,44.7,47
S00093026,118,8,1,2,5,-,1,3,4,4,21,35,12,15,7,-,-,45.0,48
S00093027,118,6,8,4,6,2,3,1,4,3,22,36,12,9,1,1,-,38.9,44
S00093028,120,1,4,7,15,1,5,2,6,1,22,34,3,13,5,1,-,39.1,43
S00093029,171,7,5,6,10,3,2,3,4,8,33,45,17,13,10,3,2,43.9,46
S00093030,118,10,5,4,10,3,1,1,2,3,27,22,10,14,5,1,-,39.6,42
S00093031,84,-,4,1,4,1,1,-,4,4,14,19,14,15,1,1,1,47.9,52
S00093032,151,3,4,5,15,4,2,5,6,4,22,39,18,16,7,1,-,42.6,46
S00093033,224,4,4,2,10,2,2,5,22,19,68,62,12,7,4,-,1,38.2,37
S00093034,103,8,6,1,4,3,1,-,12,7,19,26,4,7,5,-,-,37.1,40
S00093035,106,11,2,3,3,1,5,4,4,16,18,18,6,11,4,-,-,36.0,33
S00093036,105,9,8,3,9,5,3,-,5,6,20,15,11,7,2,2,-,34.8,35
S00093037,91,8,2,1,6,-,2,1,5,8,9,23,9,15,2,-,-,40.9,49
S00093038,63,3,1,1,2,3,2,1,5,7,8,12,8,8,1,1,-,40.7,41
S00093039,163,6,-,1,11,5,8,3,5,11,24,49,13,18,8,1,-,43.2,46
S00093040,139,3,3,7,15,-,2,1,5,6,25,39,14,13,4,2,-,42.2,45
S00093041,61,2,1,2,5,2,2,1,1,3,5,12,10,8,6,1,-,45.5,48
S00093042,176,6,4,1,15,4,8,4,4,10,26,42,13,23,14,1,1,43.9,47
S00093043,125,5,2,2,4,1,3,3,5,5,20,31,8,20,11,1,4,48.3,49
S00093044,68,3,3,2,1,-,1,-,1,4,19,12,5,12,5,-,-,44.7,45
S00093045,172,7,8,1,8,4,6,6,5,9,39,42,14,15,7,1,-,40.3,43
S00093046,159,9,4,1,12,1,5,3,3,6,34,39,13,17,12,-,-,42.8,45
S00093047,128,3,2,2,10,3,7,2,4,-,23,41,7,15,6,2,1,44.0,46
S00093048,80,3,8,1,3,2,2,-,3,5,15,16,8,7,7,-,-,41.1,42
S00093049,80,2,1,5,5,1,1,1,5,4,18,20,8,4,3,-,2,40.7,41
S00093050,71,-,-,1,5,-,1,4,5,5,11,30,4,2,3,-,-,42.2,47
S00093051,79,4,4,-,6,2,3,6,8,3,10,17,4,4,8,-,-,37.4,34
S00093052,90,7,4,-,10,1,3,-,1,2,14,27,6,12,3,-,-,40.3,46
S00093053,115,5,2,2,10,2,3,3,3,6,26,30,10,8,4,1,-,39.8,43
S00093054,78,1,1,-,2,1,5,2,3,-,6,30,8,8,8,1,2,51.0,53
S00093055,106,3,2,4,8,1,6,6,3,2,17,38,3,8,3,1,1,40.3,47
S00093056,66,8,5,4,4,1,-,-,5,4,18,10,3,2,-,2,-,31.3,32
S00093057,91,7,3,1,6,1,2,2,5,2,27,20,10,-,5,-,-,37.0,37
S00093058,137,4,3,1,6,-,2,3,6,2,23,46,6,24,9,1,1,47.9,51
S00093059,147,2,6,7,13,2,3,3,5,2,28,40,14,14,6,2,-,41.8,46
S00093060,122,10,7,1,4,2,4,2,7,4,24,25,7,11,12,2,-,41.5,43
S00093061,99,3,2,3,10,6,9,5,6,2,16,19,8,5,5,-,-,34.8,32
S00093062,127,4,2,1,6,3,8,6,8,4,22,28,14,14,6,1,-,42.1,44
S00093063,126,10,3,3,9,2,4,5,9,4,31,25,6,9,6,-,-,35.9,36
S00093064,147,6,3,2,7,1,5,2,8,3,26,45,17,15,4,3,-,44.4,49
S00093065,189,7,2,1,8,1,4,10,8,5,26,52,16,34,12,3,-,47.2,49
S00093066,125,4,5,3,13,3,3,3,4,7,22,33,9,12,4,-,-,38.9,41
S00093067,67,5,3,1,5,1,5,4,3,1,13,15,1,6,3,1,-,36.3,39
S00093068,127,11,5,1,6,-,-,1,6,2,26,31,7,17,11,3,-,44.7,48
S00093069,80,5,2,4,6,1,2,5,6,3,22,11,4,7,2,-,-,35.3,36
S00093070,131,8,1,3,3,1,4,1,8,3,24,43,17,11,2,2,-,43.7,48
S00093071,121,12,5,5,10,2,-,3,2,10,26,29,5,6,5,-,1,35.6,38
S00093072,109,5,4,2,7,-,6,2,5,6,21,23,6,17,2,2,1,41.4,42
S00093073,123,3,-,3,11,3,5,2,10,3,20,30,6,11,15,1,-,43.0,45
S00093074,116,8,4,-,7,1,3,-,4,5,29,26,12,6,8,3,-,41.7,42
S00093075,99,2,2,3,10,2,-,-,5,4,17,26,10,9,8,1,-,43.4,46
S00093076,145,4,3,2,11,-,4,3,8,9,28,35,9,18,9,2,-,43.4,45
S00093077,151,1,-,1,6,-,3,14,25,21,28,27,8,8,8,1,-,37.9,31
S00093078,87,4,2,4,5,3,1,1,3,1,16,18,12,8,7,2,-,44.0,47
S00093079,61,-,1,1,2,-,3,2,2,1,9,15,11,9,5,-,-,50.6,57
S00093080,182,16,10,8,23,7,6,6,5,3,63,25,4,4,2,-,-,28.7,32
S00093081,145,6,5,3,8,2,5,6,5,1,28,43,8,18,6,1,-,42.1,45
S00093082,176,18,14,6,14,2,5,6,4,9,54,32,6,5,1,-,-,30.2,31
S00093083,199,8,4,8,15,2,9,8,10,6,41,50,19,14,3,1,1,39.3,43
S00093084,98,7,2,1,3,3,2,1,5,2,16,28,14,8,5,1,-,43.1,47
S00093085,118,5,2,1,6,4,5,2,6,3,19,36,8,15,1,5,-,43.1,46
S00093086,55,4,3,3,5,-,1,-,-,3,8,11,3,10,4,-,-,41.6,47
S00093087,119,4,2,3,11,2,3,2,6,2,15,43,8,15,3,-,-,41.9,47
S00093088,176,8,7,3,10,2,4,3,11,5,28,39,12,17,12,8,7,45.7,49
S00093089,122,5,3,2,3,-,-,3,6,6,25,26,19,20,4,-,-,46.0,52
S00093090,91,5,1,-,7,1,-,1,1,1,12,27,16,9,10,-,-,48.2,52
S00093091,115,10,9,3,6,3,2,2,6,10,26,21,8,7,1,1,-,34.3,34
S00093092,156,15,4,4,5,1,7,4,1,12,37,36,13,15,2,-,-,38.4,41
S00093093,114,5,3,2,9,1,3,1,5,9,17,32,12,12,2,-,1,41.4,47
S00093094,92,-,1,-,1,-,1,-,8,5,14,27,13,11,8,3,-,51.8,55
S00093095,155,5,3,6,16,2,5,2,4,-,20,43,16,20,9,1,3,45.1,49
S00093096,57,1,-,-,6,-,1,-,4,2,11,18,7,6,1,-,-,44.0,46
S00093097,60,1,-,1,6,1,1,1,4,2,9,16,3,9,5,1,-,45.4,49
S00093098,79,4,2,2,6,-,1,-,1,1,14,23,6,10,1,5,3,47.9,49
S00093099,144,4,3,2,8,1,3,4,6,-,18,49,19,18,6,1,2,47.2,51
S00093100,157,11,8,7,13,1,4,4,7,1,35,45,9,11,1,-,-,36.1,42
S00093101,183,3,11,5,17,4,6,2,10,5,31,52,10,18,7,-,2,40.7,44
S00093102,193,18,5,5,20,2,5,3,7,8,41,40,17,13,5,1,3,37.4,40
S00093103,142,6,5,2,8,2,5,2,6,7,22,37,17,11,11,1,-,43.3,47
S00093104,114,6,4,1,6,-,5,3,5,7,20,31,10,6,9,1,-,41.6,45
S00093105,198,12,9,3,17,4,7,4,9,7,37,49,16,17,5,2,-,38.6,43
S00093106,117,4,5,3,9,-,2,4,7,8,23,28,9,11,4,-,-,39.0,42
S00093107,125,3,5,-,11,1,6,5,10,2,19,32,6,18,6,-,1,41.7,45
S00093108,92,1,3,2,5,-,3,3,3,1,16,27,9,10,9,-,-,46.5,47
S00093109,121,8,2,-,13,1,3,-,1,5,22,36,7,14,5,3,1,43.5,46
S00093110,115,8,6,2,12,4,3,2,2,4,23,35,2,10,2,-,-,36.4,40
S00093111,104,6,2,-,4,2,3,4,4,8,9,33,12,15,2,-,-,43.6,49
S00093112,88,3,6,4,2,1,1,1,4,8,25,25,2,5,1,-,-,36.7,38
S00093113,100,13,11,1,10,1,1,-,4,2,42,13,1,1,-,-,-,28.0,34
S00093114,172,22,14,4,15,1,7,3,7,2,48,43,4,-,2,-,-,29.8,34
S00093115,91,4,2,-,3,1,1,3,1,2,19,21,11,14,8,-,1,48.9,54
S00093116,207,13,14,15,20,4,4,1,8,-,67,40,12,7,2,-,-,32.9,39
S00093117,184,25,14,4,12,3,8,7,2,3,73,27,5,1,-,-,-,28.0,33
S00093118,135,8,8,1,2,1,2,1,6,4,20,35,6,13,23,4,1,49.1,53
S00093119,132,11,2,2,7,1,2,-,5,10,24,44,12,7,4,1,-,40.8,46
S00093120,110,3,1,-,14,-,1,4,4,3,21,33,8,9,3,6,-,44.0,46
S00093121,117,2,3,2,7,1,3,-,4,13,17,24,18,16,7,-,-,45.4,50
S00093122,81,4,-,-,-,-,-,-,-,6,11,12,7,17,17,5,2,59.0,65
S00093123,116,6,4,4,4,1,4,3,10,5,18,21,7,14,12,1,2,42.7,43
S00093124,88,3,1,1,4,-,1,2,6,2,7,16,9,16,18,2,-,53.6,61
S00093125,100,3,2,3,4,-,1,-,4,1,17,17,10,22,13,2,1,52.2,57
