,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00096929,83,4,4,-,21,16,5,6,13,10,2,2,-,6
S00096930,60,4,-,4,22,11,3,4,11,4,1,1,-,-
S00096931,72,2,1,1,17,20,4,7,13,5,1,1,-,3
S00096932,133,7,1,6,19,20,2,9,33,25,4,3,1,14
S00096933,99,6,2,4,15,19,4,8,22,11,5,3,2,9
S00096934,80,1,-,1,12,8,3,6,18,9,11,7,4,12
S00096935,59,-,-,-,7,9,7,8,11,9,3,2,1,5
S00096936,95,3,-,3,8,15,2,10,24,14,9,4,5,10
S00096937,99,4,2,2,12,15,8,9,16,24,3,1,2,8
S00096938,92,-,-,-,10,11,1,7,16,26,15,6,9,6
S00096939,33,1,1,-,6,6,1,2,6,8,3,2,1,-
S00096940,64,3,-,3,7,12,3,4,15,9,6,3,3,5
S00096941,92,3,2,1,8,6,2,4,24,19,15,8,7,11
S00096942,111,-,-,-,5,8,3,11,36,24,17,9,8,7
S00096943,103,3,-,3,10,16,4,9,22,15,13,10,3,11
S00096944,79,-,-,-,12,6,6,6,25,7,9,6,3,8
S00096945,82,-,-,-,12,8,4,4,21,16,7,5,2,10
S00096946,66,4,-,4,11,8,2,1,15,11,3,1,2,11
S00096947,77,1,-,1,8,11,-,8,15,15,8,4,4,11
S00096948,88,1,1,-,14,11,1,12,16,14,7,6,1,12
S00096949,67,1,-,1,9,2,3,6,17,17,5,2,3,7
S00096950,73,2,-,2,6,4,3,7,15,20,10,4,6,6
S00096951,70,2,1,1,11,15,1,6,13,12,6,3,3,4
S00096952,102,-,-,-,10,9,2,16,22,18,16,5,11,9
S00096953,56,3,-,3,4,3,1,7,14,11,9,5,4,4
S00096954,51,2,-,2,3,4,3,9,13,9,5,2,3,3
S00096955,101,1,-,1,14,15,8,6,25,17,9,6,3,6
S00096956,82,2,1,1,12,11,3,9,18,13,6,3,3,8
S00096957,126,6,2,4,10,19,1,14,21,23,16,10,6,16
S00096958,98,2,1,1,13,14,4,8,16,23,11,6,5,7
S00096959,47,1,-,1,3,7,1,1,13,9,6,6,-,6
S00096960,60,2,-,2,6,7,7,2,17,9,6,3,3,4
S00096961,58,1,1,-,7,6,2,11,12,10,8,4,4,1
S00096962,71,3,-,3,5,3,2,6,21,18,9,5,4,4
S00096963,84,3,-,3,9,11,4,8,15,15,11,5,6,8
S00096964,111,-,-,-,16,15,2,13,24,26,9,5,4,6
S00096965,67,-,-,-,11,13,3,6,16,5,2,1,1,11
S00096966,47,1,-,1,3,11,3,1,6,3,14,11,3,5
S00096967,90,2,1,1,3,9,1,6,17,17,23,18,5,12
S00096968,95,1,1,-,7,16,2,13,20,12,11,4,7,13
S00096969,87,2,1,1,12,14,7,7,16,12,11,8,3,6
S00096970,98,-,-,-,15,10,5,9,24,13,14,10,4,8
S00096971,36,1,-,1,3,9,1,4,4,10,2,1,1,2
S00096972,88,2,-,2,11,15,2,9,22,23,3,2,1,1
S00096973,95,3,-,3,18,17,4,9,17,17,6,5,1,4
S00096974,75,3,-,3,27,14,3,5,9,7,3,3,-,4
S00096975,126,9,3,6,27,30,4,8,18,14,3,1,2,13
S00096976,61,2,-,2,17,12,3,6,10,6,2,-,2,3
S00096977,59,4,1,3,7,7,4,10,10,12,4,3,1,1
S00096978,80,4,1,3,16,15,4,10,9,14,3,2,1,5
S00096979,57,3,-,3,17,13,4,3,7,7,1,-,1,2
S00096980,78,7,2,5,10,15,3,10,13,8,6,3,3,6
S00096981,110,15,4,11,26,9,9,15,17,10,3,2,1,6
S00096982,103,11,3,8,23,21,10,8,16,4,1,1,-,9
S00096983,73,8,2,6,26,10,5,8,9,4,-,-,-,3
S00096984,87,-,-,-,20,10,5,11,13,14,6,2,4,8
S00096985,65,8,4,4,19,12,6,5,6,2,2,2,-,5
S00096986,77,2,-,2,17,7,3,6,21,13,5,2,3,3
S00096987,65,1,1,-,9,12,1,5,12,14,8,1,7,3
S00096988,59,3,-,3,8,14,2,5,14,6,3,2,1,4
S00096989,110,1,-,1,15,18,3,15,22,17,7,7,-,12
S00096990,62,1,-,1,10,10,2,7,11,11,7,5,2,3
S00096991,41,1,-,1,7,2,-,6,10,8,4,2,2,3
S00096992,43,-,-,-,4,8,4,8,7,8,1,-,1,3
S00096993,74,4,2,2,8,13,5,8,17,11,6,5,1,2
S00096994,38,-,-,-,4,7,2,4,10,6,5,4,1,-
S00096995,77,6,-,6,9,8,-,8,16,9,16,9,7,5
S00096996,44,-,-,-,7,9,1,2,10,5,9,4,5,1
S00096997,37,4,-,4,7,5,2,2,5,9,1,-,1,2
S00096998,70,3,1,2,13,27,5,7,5,4,1,-,1,5
S00096999,101,8,1,7,25,18,4,12,12,13,-,-,-,9
S00097000,88,3,-,3,25,22,4,5,13,8,2,-,2,6
S00097001,68,2,-,2,7,12,5,5,17,14,2,-,2,4
S00097002,50,1,-,1,12,8,2,4,8,10,3,1,2,2
S00097003,55,1,-,1,2,6,1,6,13,15,6,3,3,5
S00097004,69,1,-,1,11,15,1,8,17,8,3,2,1,5
S00097005,91,7,1,6,20,11,1,6,18,17,3,1,2,8
S00097006,53,-,-,-,6,15,2,9,12,7,1,1,-,1
S00097007,116,6,1,5,34,19,5,12,19,12,6,3,3,3
S00097008,54,7,1,6,17,11,4,2,5,3,-,-,-,5
S00097009,91,4,1,3,20,20,2,9,14,13,5,3,2,4
S00097010,58,5,2,3,11,10,3,5,6,12,2,-,2,4
S00097011,84,4,-,4,24,15,9,11,13,1,1,1,-,6
S00097012,65,2,1,1,6,7,2,5,17,11,9,8,1,6
S00097013,85,1,-,1,7,17,2,9,22,13,7,4,3,7
S00097014,71,-,-,-,11,10,5,8,14,10,7,5,2,6
S00097015,51,1,-,1,9,8,2,4,9,9,7,3,4,2
S00097016,49,-,-,-,3,2,4,4,14,13,7,3,4,2
S00097017,45,4,2,2,2,5,6,3,4,8,8,2,6,5
S00097018,52,1,-,1,8,6,2,5,10,13,5,2,3,2
S00097019,49,1,1,-,1,9,2,6,15,7,7,6,1,1
S00097020,44,2,-,2,2,3,3,3,12,8,11,5,6,-
S00097021,68,2,-,2,1,5,3,7,14,18,15,9,6,3
S00097022,83,1,1,-,10,12,3,5,27,17,6,5,1,2
S00097023,95,12,3,9,21,20,7,5,12,8,-,-,-,10
S00097024,57,12,2,10,13,7,4,7,1,5,-,-,-,8
S00097025,184,19,3,16,51,36,6,26,20,14,4,1,3,8
S00097026,78,13,1,12,23,17,3,4,1,5,-,-,-,12
S00097027,88,8,2,6,16,21,5,5,12,7,2,1,1,12
S00097028,75,2,-,2,13,19,2,6,17,9,2,2,-,5
S00097029,101,13,4,9,25,22,6,5,13,3,3,2,1,11
S00097030,82,6,1,5,19,15,10,5,15,7,3,2,1,2
S00097031,79,7,4,3,23,12,3,7,6,10,1,1,-,10
S00097032,131,14,2,12,40,20,5,16,13,5,3,2,1,15
S00097033,61,3,1,2,16,11,-,6,5,9,5,2,3,6
S00097034,62,3,-,3,8,12,4,7,12,9,4,2,2,3
S00097035,43,1,-,1,2,2,-,3,11,9,13,4,9,2
S00097036,40,-,-,-,1,6,1,1,5,10,13,8,5,3
S00097037,61,3,-,3,8,9,1,6,22,11,1,1,-,-
S00097038,121,7,2,5,30,19,7,12,23,11,2,1,1,10
S00097039,74,4,1,3,4,14,8,4,16,15,5,4,1,4
S00097040,45,2,-,2,5,9,3,6,5,14,1,-,1,-
S00097041,45,-,-,-,6,8,1,6,12,5,5,3,2,2
S00097042,68,3,2,1,5,11,1,10,13,14,4,3,1,7
S00097043,62,5,-,5,4,14,2,7,9,15,1,-,1,5
S00097044,136,2,1,1,20,12,14,10,27,31,8,4,4,12
S00097045,113,9,3,6,11,24,7,9,24,14,8,6,2,7
S00097046,57,4,-,4,6,11,6,4,8,9,3,3,-,6
S00097047,113,3,-,3,9,13,4,8,25,21,13,5,8,17
S00097048,96,2,1,1,13,15,4,9,18,21,5,5,-,9
S00097049,57,1,-,1,9,12,5,4,6,7,5,3,2,8
S00097050,57,4,-,4,9,8,3,4,14,12,1,1,-,2
S00097051,90,3,2,1,10,18,4,4,15,20,12,7,5,4
S00097052,99,8,-,8,20,21,3,4,19,8,1,1,-,15
S00097053,117,9,1,8,19,25,13,7,13,8,3,2,1,20
S00097054,120,7,2,5,26,14,7,11,24,17,6,3,3,8
S00097055,46,2,-,2,7,6,-,1,7,4,16,14,2,3
S00097056,106,2,1,1,9,12,5,11,20,25,17,12,5,5
S00097057,53,5,1,4,15,7,5,3,4,6,1,1,-,7
S00097058,74,5,-,5,18,21,2,5,13,8,2,1,1,-
S00097059,44,3,1,2,3,7,2,4,6,8,3,2,1,8
S00097060,41,4,1,3,9,11,2,1,2,5,2,1,1,5
S00097061,76,8,-,8,22,15,5,5,11,4,-,-,-,6
S00097062,94,5,1,4,22,15,4,7,16,14,3,2,1,8
S00097063,62,2,1,1,15,10,2,6,12,8,5,2,3,2
S00097064,38,4,-,4,10,6,3,3,6,4,1,1,-,1
S00097065,55,5,3,2,9,11,4,3,5,12,3,3,-,3
S00097066,62,1,-,1,11,9,3,10,11,9,3,2,1,5
S00097067,65,2,-,2,17,15,2,6,5,9,-,-,-,9
S00097068,62,-,-,-,11,13,3,8,8,12,4,4,-,3
S00097069,127,14,2,12,48,20,7,6,13,9,2,1,1,8
S00097070,57,7,2,5,19,13,3,2,5,4,1,-,1,3
S00097071,116,7,1,6,29,32,7,7,7,7,3,1,2,17
S00097072,40,-,-,-,3,6,1,5,7,5,12,7,5,1
S00097073,65,3,-,3,12,10,4,4,15,10,6,6,-,1
S00097074,85,2,-,2,7,12,4,5,21,19,9,6,3,6
S00097075,49,1,-,1,11,7,2,2,9,5,9,2,7,3
S00097076,68,1,1,-,5,12,5,6,9,16,10,3,7,4
S00097077,43,-,-,-,1,5,6,4,7,9,9,5,4,2
S00097078,73,6,1,5,18,19,6,5,6,4,2,2,-,7
S00097079,102,12,4,8,26,27,7,3,16,6,2,-,2,3
S00097080,82,9,2,7,23,12,14,8,7,5,-,-,-,4
S00097081,67,5,1,4,21,16,8,5,8,-,2,-,2,2
S00097082,64,5,1,4,19,11,4,7,3,6,2,2,-,7
S00097083,59,2,-,2,12,11,3,8,7,8,4,2,2,4
S00097084,78,3,2,1,12,16,3,5,20,15,1,1,-,3
S00097085,86,1,-,1,12,15,2,7,23,13,6,3,3,7
S00097086,47,1,-,1,4,2,3,3,12,9,8,5,3,5
S00097087,71,3,1,2,11,9,-,7,14,12,5,4,1,10
S00097088,63,1,-,1,5,9,-,9,15,14,7,5,2,3
S00097089,52,-,-,-,18,7,2,6,8,5,-,-,-,6
S00097090,100,3,1,2,11,20,8,9,18,19,3,2,1,9
S00097091,85,5,1,4,17,17,6,8,10,17,2,1,1,3
S00097092,62,5,2,3,17,16,5,2,7,8,-,-,-,2
S00097093,85,7,-,7,29,22,5,3,12,5,-,-,-,2
S00097094,37,2,1,1,11,7,1,2,7,6,-,-,-,1
S00097095,159,18,5,13,41,31,10,15,19,10,1,1,-,14
S00097096,97,10,2,8,26,22,2,9,19,2,1,-,1,6
S00097097,80,9,5,4,20,15,4,6,14,4,1,-,1,7
S00097098,77,3,-,3,12,19,3,8,15,10,3,2,1,4
S00097099,83,5,2,3,20,11,1,6,18,9,11,8,3,2
S00097100,66,3,1,2,12,11,2,7,14,10,6,3,3,1
S00097101,47,1,-,1,4,7,1,6,8,13,4,1,3,3
S00097102,55,1,-,1,10,11,-,8,8,12,5,2,3,-
S00097103,63,1,1,-,14,13,3,12,9,9,1,-,1,1
S00097104,128,9,3,6,25,30,7,11,17,18,2,1,1,9
S00097105,50,3,1,2,6,9,2,5,7,7,6,4,2,5
S00097106,131,24,7,17,30,19,9,5,16,16,7,3,4,5
S00097107,85,7,1,6,17,22,6,8,12,4,-,-,-,9
S00097108,58,6,1,5,18,7,1,5,6,10,-,-,-,5
S00097109,106,22,7,15,23,17,12,8,4,6,2,-,2,12
S00097110,74,13,2,11,17,9,6,4,8,6,2,1,1,9
S00097111,52,6,3,3,9,17,7,-,3,5,2,2,-,3
S00097112,101,7,2,5,30,24,7,10,9,4,5,4,1,5
S00097113,85,2,1,1,8,6,12,14,22,19,1,1,-,1
S00097114,69,3,1,2,9,7,13,7,13,14,2,1,1,1
S00097115,88,4,-,4,9,9,11,10,18,18,2,2,-,7
S00097116,101,8,4,4,18,12,21,11,12,11,4,2,2,4
S00097117,56,3,-,3,11,11,7,3,14,4,-,-,-,3
S00097118,127,13,3,10,21,12,28,15,20,12,1,1,-,5
S00097119,92,3,2,1,20,4,25,4,20,11,3,3,-,2
S00097120,85,3,2,1,14,7,14,8,21,15,-,-,-,3
S00097121,115,1,-,1,27,12,24,10,20,11,6,3,3,4
S00097122,81,13,4,9,19,7,14,3,5,9,2,1,1,9
S00097123,108,6,3,3,23,13,15,9,20,11,6,1,5,5
S00097124,73,6,2,4,19,8,20,2,10,8,-,-,-,-
S00097125,88,7,3,4,23,5,24,9,7,6,2,-,2,5
S00097126,72,14,3,11,21,9,15,1,4,3,-,-,-,5
S00097127,59,6,2,4,15,6,11,-,10,3,1,1,-,7
S00097128,130,27,6,21,32,18,18,12,9,5,1,-,1,8
S00097129,43,4,1,3,11,5,13,1,2,5,1,1,-,1
S00097130,56,14,8,6,11,7,12,4,5,1,-,-,-,2
S00097131,73,2,1,1,13,11,6,7,15,14,2,1,1,3
S00097132,76,8,4,4,9,7,17,5,17,8,3,2,1,2
S00097133,106,8,-,8,18,8,30,6,18,7,5,2,3,6
S00097134,139,12,2,10,28,12,28,14,19,15,4,2,2,7
S00097135,81,4,1,3,8,7,20,10,18,8,3,1,2,3
S00097136,128,3,1,2,23,9,24,8,33,18,2,2,-,8
S00097137,67,6,2,4,14,12,10,4,10,6,1,1,-,4
S00097138,69,6,-,6,15,1,15,7,17,6,-,-,-,2
S00097139,101,8,2,6,17,17,18,6,17,11,4,3,1,3
S00097140,83,11,-,11,21,6,6,8,14,10,3,3,-,4
S00097141,136,18,3,15,32,11,33,12,19,6,3,-,3,2
S00097142,129,11,-,11,28,17,42,5,17,4,2,2,-,3
S00097143,61,8,2,6,13,3,17,5,6,6,1,1,-,2
S00097144,77,5,2,3,8,7,10,13,18,11,3,2,1,2
S00097145,120,6,1,5,22,16,11,9,24,21,4,1,3,7
S00097146,92,4,1,3,26,14,13,5,14,8,2,2,-,6
S00097147,112,9,1,8,16,14,23,6,24,11,6,3,3,3
S00097148,140,8,2,6,29,14,18,10,29,18,7,2,5,7
S00097149,92,6,3,3,21,11,19,12,15,5,2,1,1,1
S00097150,122,3,1,2,11,15,23,13,25,18,5,3,2,9
S00097151,80,4,-,4,13,8,18,5,19,5,2,1,1,6
S00097152,111,6,3,3,17,10,26,10,23,5,7,7,-,7
S00097153,141,7,1,6,23,15,35,15,24,15,2,1,1,5
S00097154,120,4,2,2,18,14,29,7,26,13,2,1,1,7
S00097155,65,2,-,2,14,4,27,3,6,2,6,6,-,1
S00097156,115,8,1,7,23,6,23,9,22,14,2,-,2,8
S00097157,137,10,3,7,20,18,35,12,22,9,2,1,1,9
S00097158,88,10,1,9,21,6,21,8,10,2,-,-,-,10
S00097159,137,5,-,5,21,12,27,10,26,23,6,6,-,7
S00097160,62,6,4,2,9,5,18,1,14,3,-,-,-,6
S00097161,165,9,1,8,19,20,48,9,27,17,4,1,3,12
S00097162,108,10,4,6,24,8,35,2,20,5,3,2,1,1
S00097163,101,9,4,5,16,10,39,8,7,11,-,-,-,1
S00097164,102,7,1,6,22,12,20,5,15,9,6,2,4,6
S00097165,46,-,-,-,8,2,5,2,14,12,3,2,1,-
S00097166,89,1,1,-,14,7,14,9,18,18,3,2,1,5
S00097167,110,6,1,5,27,16,16,11,15,11,4,3,1,4
S00097168,91,7,2,5,10,9,19,8,12,17,3,1,2,6
S00097169,37,4,-,4,6,10,2,3,3,7,1,1,-,1
S00097170,171,12,4,8,37,20,11,22,33,26,3,2,1,7
S00097171,104,11,3,8,33,2,13,6,22,10,1,1,-,6
S00097172,103,3,1,2,21,9,20,11,21,11,2,-,2,5
S00097173,117,3,2,1,26,7,29,10,16,18,2,2,-,6
S00097174,84,12,1,11,20,13,10,10,11,5,1,-,1,2
S00097175,78,3,1,2,22,14,7,9,14,5,1,1,-,3
S00097176,89,9,3,6,14,6,22,6,21,6,1,-,1,4
S00097177,79,3,-,3,4,7,4,10,23,19,5,1,4,4
S00097178,72,10,3,7,18,6,16,9,3,8,1,1,-,1
S00097179,55,4,-,4,14,4,8,6,9,5,3,2,1,2
S00097180,96,5,-,5,22,12,8,9,21,16,3,1,2,-
S00097181,125,8,-,8,18,14,20,18,21,21,4,2,2,1
S00097182,69,5,-,5,9,9,10,5,17,6,3,1,2,5
S00097183,101,8,1,7,24,11,10,10,17,11,3,2,1,7
S00097184,88,8,1,7,17,12,20,6,11,9,2,1,1,3
S00097185,90,8,1,7,26,9,20,6,9,7,4,4,-,1
S00097186,65,3,3,-,14,3,16,6,14,6,-,-,-,3
S00097187,88,5,-,5,19,12,16,5,15,12,-,-,-,4
S00097188,90,7,4,3,26,7,17,4,17,6,3,2,1,3
S00097189,93,5,4,1,19,17,13,9,16,9,1,1,-,4
S00097190,67,5,1,4,12,3,20,6,12,5,1,1,-,3
S00097191,43,4,1,3,5,6,11,7,3,2,1,1,-,4
S00097192,62,3,2,1,12,5,10,4,11,11,2,-,2,4
S00097193,131,20,6,14,29,8,16,16,21,11,7,3,4,3
S00097194,149,9,5,4,30,13,50,6,18,12,4,4,-,7
S00097195,82,9,3,6,9,12,24,5,11,7,2,-,2,3
S00097196,95,6,1,5,13,8,20,6,20,13,5,4,1,4
S00097197,69,5,1,4,15,8,9,4,11,11,-,-,-,6
S00097198,96,8,3,5,22,14,19,4,12,8,-,-,-,9
S00097199,79,3,1,2,16,5,6,7,15,19,2,1,1,6
S00097200,109,4,1,3,24,17,29,6,11,10,3,-,3,5
S00097201,72,7,2,5,21,2,17,3,9,12,1,1,-,-
S00097202,61,2,-,2,12,8,18,4,9,6,1,-,1,1
S00097203,88,5,1,4,26,8,21,5,9,6,1,-,1,7
S00097204,75,8,2,6,26,12,5,6,8,6,1,1,-,3
S00097205,92,15,4,11,26,18,8,3,8,4,1,1,-,9
S00097206,114,13,6,7,40,21,4,2,18,6,3,3,-,7
S00097207,108,15,6,9,31,11,7,10,18,9,1,1,-,6
S00097208,109,8,4,4,19,15,12,14,22,12,2,2,-,5
S00097209,115,13,4,9,31,9,25,15,7,8,3,2,1,4
S00097210,114,3,1,2,32,20,24,6,13,12,2,2,-,2
S00097211,158,9,2,7,24,17,19,13,31,31,4,3,1,10
S00097212,131,7,1,6,38,14,25,12,10,11,3,-,3,11
S00097213,116,4,1,3,18,14,9,8,24,16,3,1,2,20
S00097214,113,11,1,10,29,11,19,4,21,9,2,1,1,7
S00097215,98,9,1,8,30,10,11,10,9,11,4,2,2,4
S00097216,110,10,5,5,32,14,12,8,16,7,4,4,-,7
S00097217,138,12,5,7,32,23,14,15,16,11,3,-,3,12
S00097218,142,7,4,3,37,12,24,11,19,17,2,-,2,13
S00097219,116,9,1,8,31,14,20,6,19,9,3,2,1,5
S00097220,86,4,-,4,19,12,16,6,12,9,2,2,-,6
S00097221,67,5,2,3,12,13,7,6,13,4,2,2,-,5
S00097222,66,4,1,3,12,7,7,7,7,18,1,-,1,3
S00097223,135,11,2,9,30,17,17,9,16,11,5,4,1,19
S00097224,147,14,2,12,37,14,25,7,27,12,2,2,-,9
S00097225,64,4,1,3,13,8,14,2,12,4,1,-,1,6
S00097226,60,7,2,5,14,6,19,4,2,4,1,-,1,3
S00097227,80,12,7,5,13,9,21,4,13,5,2,2,-,1
S00097228,124,7,3,4,28,12,28,12,16,14,2,1,1,5
S00097229,57,1,-,1,10,4,3,10,12,11,4,1,3,2
S00097230,103,6,1,5,22,11,10,8,22,13,3,1,2,8
S00097231,65,1,1,-,11,10,5,10,12,13,2,1,1,1
S00097232,119,7,1,6,17,11,36,7,21,10,3,3,-,7
S00097233,52,7,1,6,12,6,16,-,1,3,4,3,1,3
S00097234,118,16,6,10,33,11,20,8,15,8,2,1,1,5
S00097235,101,18,6,12,26,13,12,11,7,4,4,4,-,6
S00097236,117,25,3,22,33,9,25,3,10,4,2,1,1,6
S00097237,108,5,2,3,25,9,21,5,21,10,4,4,-,8
S00097238,103,9,-,9,22,13,20,4,20,9,-,-,-,6
S00097239,114,15,1,14,23,14,15,10,23,9,-,-,-,5
S00097240,60,1,1,-,4,5,1,5,18,10,14,5,9,2
S00097241,58,6,-,6,15,4,10,7,7,5,1,1,-,3
S00097242,92,5,-,5,13,13,9,9,16,17,4,4,-,6
S00097243,143,8,2,6,43,23,9,13,22,15,3,3,-,7
S00097244,94,9,5,4,34,29,-,8,7,3,1,1,-,3
S00097245,113,12,2,10,30,16,8,9,22,10,2,2,-,4
S00097246,51,7,1,6,15,6,8,5,6,1,2,2,-,1
S00097247,86,6,2,4,28,8,7,10,18,6,-,-,-,3
S00097248,107,5,3,2,17,18,23,7,20,14,-,-,-,3
S00097249,84,10,1,9,28,9,9,7,11,4,2,1,1,4
S00097250,113,11,2,9,30,16,7,12,15,16,-,-,-,6
S00097251,136,14,-,14,32,14,33,6,16,7,3,3,-,11
S00097252,147,12,3,9,29,13,34,9,30,7,3,1,2,10
S00097253,121,10,2,8,30,13,30,6,15,5,8,6,2,4
S00097254,97,13,2,11,28,14,16,5,8,6,1,-,1,6
S00097255,101,3,1,2,26,12,22,5,17,13,1,1,-,2
S00097256,78,4,1,3,8,5,3,12,19,23,1,1,-,3
S00097257,58,2,-,2,10,6,6,1,22,6,1,1,-,4
S00097258,45,4,-,4,9,5,6,3,10,3,-,-,-,5
S00097259,110,3,2,1,26,13,18,9,22,12,2,1,1,5
S00097260,59,3,-,3,9,8,7,3,14,8,4,3,1,3
S00097261,66,5,-,5,12,5,10,8,10,7,2,2,-,7
S00097262,80,3,1,2,20,12,10,6,13,10,1,-,1,5
S00097263,85,4,-,4,13,4,8,7,27,13,6,6,-,3
S00097264,68,10,3,7,15,10,8,6,15,3,1,1,-,-
S00097265,63,5,1,4,13,3,10,6,13,8,2,1,1,3
S00097266,62,8,3,5,12,10,5,6,7,8,3,2,1,3
S00097267,45,2,-,2,9,4,2,6,14,6,1,1,-,1
S00097268,118,8,2,6,27,13,28,4,18,5,3,3,-,12
S00097269,93,6,1,5,20,11,17,4,21,8,2,1,1,4
S00097270,43,6,1,5,12,2,11,2,4,-,2,-,2,4
S00097271,71,4,1,3,20,8,11,5,15,2,1,1,-,5
S00097272,54,3,-,3,14,8,6,3,6,10,2,2,-,2
S00097273,45,3,-,3,10,11,5,4,5,4,1,-,1,2
S00097274,66,7,1,6,20,2,16,3,9,7,-,-,-,2
S00097275,68,5,2,3,19,6,14,5,13,3,1,-,1,2
S00097276,78,7,2,5,22,8,11,5,11,6,2,2,-,6
S00097277,104,14,2,12,25,9,28,5,16,2,2,-,2,3
S00097278,82,4,1,3,19,11,10,7,17,8,2,1,1,4
S00097279,90,10,2,8,24,11,19,5,6,4,3,2,1,8
S00097280,64,7,-,7,17,8,4,3,11,9,1,1,-,4
S00097281,80,5,-,5,18,10,8,3,22,8,2,2,-,4
S00097282,99,4,1,3,12,9,9,8,26,23,3,3,-,5
S00097283,48,-,-,-,5,6,7,3,14,6,2,1,1,5
S00097284,82,9,3,6,18,11,12,7,13,9,2,-,2,1
S00097285,62,10,1,9,15,9,12,2,9,2,2,2,-,1
S00097286,64,5,3,2,15,6,16,4,12,2,-,-,-,4
S00097287,136,13,1,12,21,13,22,7,31,10,5,3,2,14
S00097288,106,2,-,2,14,12,9,8,25,20,9,6,3,7
S00097289,85,5,1,4,20,7,13,7,15,10,5,1,4,3
S00097290,68,4,-,4,18,9,9,5,13,5,1,-,1,4
S00097291,61,11,3,8,13,3,6,10,9,4,2,-,2,3
S00097292,48,-,-,-,5,2,-,5,15,12,4,2,2,5
S00097293,99,5,2,3,19,8,18,12,16,10,6,4,2,5
S00097294,93,9,2,7,22,10,20,6,10,7,3,3,-,6
S00097295,64,7,1,6,12,7,17,4,7,3,-,-,-,7
S00097296,78,12,3,9,16,7,17,2,11,9,-,-,-,4
S00097297,46,-,-,-,3,5,5,7,15,8,3,3,-,-
S00097298,98,8,1,7,16,8,17,9,23,13,4,2,2,-
S00097299,73,7,3,4,14,4,12,4,16,7,5,2,3,4
S00097300,143,7,2,5,33,13,34,8,24,10,3,3,-,11
S00097301,54,6,1,5,15,1,9,6,9,4,2,-,2,2
S00097302,72,4,1,3,12,6,8,11,12,9,7,2,5,3
S00097303,122,10,1,9,25,11,33,11,15,10,3,2,1,4
S00097304,68,14,5,9,14,6,18,2,8,4,-,-,-,2
S00097305,77,-,-,-,10,8,19,8,16,12,-,-,-,4
S00097306,99,7,2,5,25,8,18,5,15,14,2,1,1,5
S00097307,126,9,2,7,26,23,31,8,10,6,3,1,2,10
S00097308,71,4,-,4,20,6,12,7,9,10,3,2,1,-
S00097309,89,3,1,2,16,14,16,11,11,11,1,1,-,6
S00097310,130,15,2,13,29,11,30,7,16,12,2,-,2,8
S00097311,126,14,2,12,24,14,30,13,16,7,3,2,1,5
S00097312,41,6,1,5,14,6,5,1,3,3,1,-,1,2
S00097313,53,11,2,9,12,9,14,-,3,-,2,1,1,2
S00097314,47,7,-,7,11,4,14,-,4,5,-,-,-,2
S00097315,94,20,7,13,22,14,13,3,14,2,3,3,-,3
S00097316,40,2,1,1,13,2,6,5,5,3,2,2,-,2
S00097317,62,10,3,7,15,4,21,3,4,1,1,1,-,3
S00097318,39,4,-,4,5,3,13,1,8,2,-,-,-,3
S00097319,39,5,1,4,6,4,12,2,1,4,-,-,-,5
S00097320,55,5,1,4,11,5,19,5,1,4,3,2,1,2
S00097321,70,7,1,6,15,10,19,-,9,7,1,-,1,2
S00097322,57,8,-,8,12,3,10,3,10,4,3,3,-,4
S00097323,95,9,1,8,19,10,27,5,14,7,3,3,-,1
S00097324,84,15,5,10,25,12,11,3,12,5,1,-,1,-
S00097325,80,4,-,4,14,9,9,10,11,15,3,2,1,5
S00097326,71,2,1,1,12,10,21,6,12,5,1,1,-,2
S00097327,86,1,-,1,11,7,7,9,25,16,6,4,2,4
S00097328,106,5,-,5,20,9,37,9,12,9,1,1,-,4
S00097329,123,9,1,8,26,18,25,9,19,11,-,-,-,6
S00097330,83,8,-,8,17,9,18,5,13,8,2,1,1,3
S00097331,108,1,-,1,35,14,17,3,22,9,4,3,1,3
S00097332,53,1,-,1,7,8,12,5,8,6,2,2,-,4
S00097333,89,3,1,2,23,8,12,8,17,9,4,4,-,5
S00097334,75,2,-,2,13,6,11,5,14,12,5,3,2,7
S00097335,110,11,3,8,30,8,29,2,18,5,1,-,1,6
S00097336,54,1,1,-,14,7,8,1,14,2,3,2,1,4
S00097337,65,2,1,1,9,1,8,7,18,11,6,3,3,3
S00097338,79,5,-,5,13,15,18,3,14,9,1,-,1,1
S00097339,106,1,1,-,5,6,10,11,32,17,16,6,10,8
S00097340,126,7,-,7,24,12,33,4,18,20,4,3,1,4
S00097341,81,7,1,6,14,9,18,7,10,12,2,2,-,2
S00097342,110,1,1,-,19,17,21,6,31,8,2,1,1,5
S00097343,86,6,2,4,14,5,15,6,12,13,6,2,4,9
S00097344,144,15,3,12,23,9,44,14,20,10,4,4,-,5
